num,text,image_num,font_size,pos_y
0,,,,
1,무슨 내가 ‘인디아나 존스’도 아니고 .. 내 꼴좀 봐 .. 이게 대체 뭐야 ㅠㅠ !!,,,
2,,,,
3,,,,
4,깊은 정글 속에서 만난 수많은 장애물 때문에 ,,,
5,아기판다(닉네임)의 몸에는 온통 상처와 진흙이 가득하다.,,,
6,,,,
7,늘 엄마 품에서 사랑만 받던 아기판다(닉네임)에게는 지금 이 모습이 무섭고 두렵기만 하다,,,
8,,,,
9,,,,
10,불안함과 마주하게 된 아기판다(닉네임)은 돌연 집으로 돌아가려는데..,,,
11,,,,
12,,,,
13,"그 순간, 엉켜진 넝쿨 사이에 있는 보물상자를 발견한 아기판다 ! ",,,
14,,,,
15,,,,
16,"기쁜 마음에 얼른 보물상자를 열어보지만, ",,,
17,그 속에는 지도 한 장만 덩그러니 놓여있었다..,,,
18,,,,
19,에잇 ! 이게 뭐야 .. 나는 지금 황금 죽순이 필요하다고 !! 얼른 죽순 내놔 !!,,,
20,,,,
21,,,,
22,반쯤 포기한 상태로 다시 비밀의 지도를 보는 아기판다,,,
23,,,,
24,,,,
25,비밀의 지도에는 낭떠러지와 구름이 가득한 신비한 땅이 그려져있다.,,,
26,,,,
27,,,,
28,이게 뭐지? 여기로 가면 황금 죽순을 얻을 수 있다는 말인가??,,,
29,,,,
30,,,,
31,어쩔 수 없지 .. 황금 죽순을 꼭 얻어서 엄마에게 멋진 판다라는 걸 증명하겠어 !!,,,
32,,,,
33,,,,
34,"아기 판다(닉네임)의 마음 속에서 새로운 열정과 자신감이 불타오르며, ",,,
35,'미지의 세계'로 나아가는 이야기가 여기서 시작된다.,,,
36,,,,
37,,,,
38,,,,
39,,,,
40,,,,
41,,,,
42,,,,
43,,,,
44,,,,
45,,,,
46,,,,
47,,,,
48,,,,
49,,,,
50,,,,
51,,,,
52,,,,
53,,,,
54,,,,
55,,,,
56,,,,
