num,text,image_num,font_size,pos_y
0,"불타오르는 용암지대.. 폭발하는 화산을 피하며, ",,,
1,뜨거운 마그마 강을 건너는 아기판다(닉네임) !,,,
2,,1,,1
3,,,,
4,갑자기 눈앞에 나타난 장애물에 아기판다는 어려움을 겪게 되는데 ..,,,
5,,2,,
6,,,,
7,이런 .. 거대한 바위가 내 길을 가로막고 있어 .. 어쩌면 좋지??,,,
8,,,,
9,,,,
10,용암지대의 더위는 견딜 수 없을 정도로 점점 더 뜨거워지고 있다.,,,
11,,,,
12,하지만 그때 ! 아기판다는 인기척에 돌아서자 ,,,
13,마치 지금보다 더 어린 모습을 한 본인의 모습을 마주하게 된다.,,,
14,,3,,1
15,"또 다른 아기판다 : 안녕, (닉네임). 너의 내면에는 이미 강력한 힘이 있어.  ",,,
16,떠올려봐 ! 지금까지 너의 길은 헛되지 않았어.,,,
17,,,,1
18,,,,
19,마치 무엇이든 할 수 있을 것만 같아.. !,,,
20,,4,,
21,,,,
22,판다의 내면에 품은 힘이 화산처럼 폭발했다!,,,
23,,5,,
24,분명 내 몸에서 나온 힘이었어... 일단 지금 이럴 때가 아니야 ! ,,,
25,황금 죽순부터 얼른 찾자 !!,,,
26,,,,1
27,,,,
28,잠시 후..,,,
29,,,,
30,,,,
31,황금죽순이 없어... 난 대체 지금까지 뭘 위해 여기까지 온 거지?,,,
32,,6,,
33,,,,
34,"그리고, 잠시 (닉네임)은 여러 생각에 잠기게 되는데..",,,
35,,7,,
36,"그래.. 너무나도 험난한 여정이었지만, ",,,
37,이 모험을 통해 나 자신을 발견한 것 같아. ,,,
38,분명 앞으로 더 강해질 수 있어 !,8,,
39,그렇게 용암지대에서의 여정을 통해 자신의 가능성을 확인한 ,,,
40,아기판다 (닉네임)은 더 큰 도전을 하기로 다짐한다.,,,
41,,,,1
42,나는 무언가 내면에서 끓어오르는 것을 느꼈어. ,,,
43,마치 무엇이든 할 수 있을 것 같아!,,,
44,,,,1
45,"모험 준비를 마친 (닉네임)은 불타오르는 열정을 안고, ",,,
46,다음 도전을 향해 나아간다.,,,
47,,9,,1
