num,text,image_num,font_size,pos_y
0,분명 오늘도 똑같은 꿈이었다..,,,
1,얼마 전부터 계속 ‘황금 죽순’이 자꾸만 꿈속에 나타나는데..!,,,
2,,1,,1
3,,,,
4,정말 ‘황금 죽순’이 실제로 존재하는 게 아닐까..?,,,
5,,,,
6,,,,
7,그리고 며칠 후…,,,
8,,,,
9,,,,
10,자유롭고 평화로운 판다 마을,,,
11,,2,,
12,,,,
13,엄마 판다 : (닉네임) !! 너 낮에 엄마가 죽순 심부름 시킨 거 했어 안했어 !!?,,,
14,,3,,
15,,,,
16,(한숨을 내쉬며) 아! 이것만 보고 나중에 할게~!!,,,
17,,4,,
18,,,,
19,엄마 판다 : 어휴.. 진짜 저 녀석이 정말 ..!!,,,
20,,6,,
21,,,,
22,고집 세고 스스로 살 만큼 살았다고 생각하는 사춘기 아기 판다 (닉네임),,,
23,,,,
24,"항상 엄마 품에서 떨어지지 않으려고 했던 어린 시절도 잠시, ",,,
25,지금은 말도 듣지 않고 그저 잔소리만 늘어놓는 엄마가 밉기만 하다.,,,
26,,7,,1
27,엄마 판다 : 너 오늘 엄마가 집에 돌아올 때까지 ,,,
28,죽순이랑 당근 심부름 안해오면 아주 혼날 줄 알아 ! 알았어?!  ,,,
29,,6,,1
30,,,,
31,(쾅! 소리와 함께 세차게 문을 닫는다),,,
32,,,,
33,아기판다 : 휴 .. 그놈의 잔소리 잔소리 !! ,,,
34,알아서 다 할 건데 왜 자꾸 간섭하는 거야 ㅡㅡ..,,,
35,,5,,1
36,결국 마지못해 (닉네임)은 죽순을 가지러 집을 나서려는 순간,,,
37,TV에서 갑자기 특종 뉴스가 나오기 시작하는데..!,,,
38,,,,1
39,(TV에서) : 긴급속보입니다 ! ,,,
40,세계적인 부자 용인 푸씨가 오늘 충격적인 발표를 했습니다 !,,,
41,,8,,1
42,,,,
43,용인 푸씨 : 나는 평생을 걸쳐 <전설의 황금 죽순>을 찾아왔지만..,,,
44,,9,,
45,용인 푸씨 : 세월이 이만큼 흘렀는데도 ,,,
46,황금죽순은 커녕 힌트 하나만 겨우 손에 넣었지요..,,,
47,,,,1
48,용인 푸씨 : 힌트는... ,,,
49,판다의 발길이 닿지 않는 <size=36><color=red>낙원</color></size>으로 가려면 <size=36><color=red>고대유적지</color></size>로 향하라,,,
50,,,,1
51,용인 푸씨 : 황금죽순을 내 눈으로 직접 보는 것이,,,
52, 나에게 남은 마지막 소원입니다.,,,
53,,,,1
54,용인 푸씨 : 그러니 황금죽순을 나에게 가져오는 판다에겐 ,,,
55,나의 모든 재산을 물려줄 것이요.,,,
56,,,,1
57,,,,
58,(TV에서) : 과연 황금 죽순을 찾는 영광의 주인공은 누가 차지할까요 ?,,,
59,,,,
60,TV에서 나오는 황금 죽순이 꿈에서 보았던 황금 죽순과 같아,,,
61,깜짝 놀란 아기판다 (닉네임) !,,,
62,,10,,1
63,,,,
64,(닉네임) :ㅇ.. 아.. 아니.. 정말 ‘황금 죽순’이 존재한 거야 ?,,,
65,,,,
66,나레이션 : 황금 죽순을 찾으면 엄청난 부와 명예를 얻을 수 있다는 소식에 ,,,
67,(닉네임)은 두근거리는 마음으로 자신의 미래모습을 상상하게 된다.,,,
68,,11,,1
69,,,,
70,"아기판다 : 그래, 나 결심했어 ! 황금 죽순을 찾아서 부자가 되고 말테야 !!",,,
71,,12,,
72,이로써 자신의 운명을 바꿔줄 ‘전설의 황금 죽순’을 찾아 기상천외한 모험을 떠나게 되는데 .. ,,,
73,과연 사고뭉치 아기 판다는 황금 죽순을 찾아 무사히 집으로 돌아올 수 있을 것인가?,,,
74,,13,26,1
75,,,,
76,그럼 이제 <황금 죽순>을 찾으러 떠나볼까?,,,
77,,,,
