num,text,image_num,font_size,pos_y
0,,,,
1,아기판다는 목적지에 도착했으나 끝내 원하는 황금 죽순을 찾지 못했다.,,,
2,,1,,
3,"충격에 빠진 아기판다는 현실부정하며, ",,,
4,집으로 돌아가지 못하고 떠돌이 신세가 되는데..,,,
5,,,,1
6,,,,
7,아기판다 : 죽순 하나만 줍쇼 .. 굽신굽신 .. 줄기라도 ..,,,
8,,2,,
9,,,,
10,"그 순간, 누군가 아기판다의 등짝을 냅다 후려치는데 !",,,
11,,3,,
12,,,,
13,짝!,,,
14,,,,
15,엄마 판다: 이 노무 판다시키!!! 연락도 없이 어딜 싸돌아 다닌거야!!! ,,,
16,엄마가 얼마나 걱정했는 줄 알아?!?!,,,
17,,4,,1
18,,,,
19,엄마 판다: 어휴.. 이 꼴 좀 봐.. 못살아 .. 당장 집에 가자!!,,,
20,,5,,
21,아기판다 : 죄송해요 엄마.. 저는 정말 황금 죽순을 찾고 싶었는데.. ,,,
22,결국 실패하고 말았어요..,,,
23,,6,,1
24,,,,
25,마음이 약해진 엄마판다는 아기판다를 꼭 안아주며 위로한다.,,,
26,,7,,
27,엄마 판다 : (닉네임)아 정말 실패했다고 생각하니? ,,,
28,그렇지 않아. 지금까지 해왔던 여정은 너를 더욱 성장시킬 거란다.,,,
29,,,,1
30,아기판다 : 엄마 지켜봐주세요 ! ,,,
31,저 앞으로 쉽게 포기하지 않는 멋진 판다가 될거에요 !!,,,
32,,8,,1
33,,,,
34,엄마 판다 : (닉네임)아 그런데 너 엄마가 말했던 죽순 심부름은 했니..?,,,
35,,9,,
36,,,,
37,아기판다 : ...........,,,
38,,,,
39,,,,
40,엄마 판다 : 아니 근데 이 녀석이 !!,,,
41,,10,,
42,,,,
43,오늘도 우당탕탕 (닉네임) 가족. 앞으로 꽃길만 걷길...★,,,
44,,,,
45,,,,
46,<황금 죽순을 향한 여정>은 이대로 정말 끝나는 것일까..?,,,
47,,11,,
48,,,,
49,To be continued ..,,,
50,,,,
