num,text,image_num,font_size,pos_y
0,,,,
1,수많은 낭떠러지를 뛰어넘어 목적지에 도착한 아기판다(닉네임),,,
2,,1,,
3,아기판다 : 끄응....휴.. 하마터면 낭떠러지에 떨어질 뻔했네.. ,,,
4,다 와서 이게 뭔 고생이람.,,,
5,,,,1
6,아기판다 : 어디보자.. 지도에 그려진 곳은 여기가 맞는 것 같은데 ,,,
7,대체 어디 있는거지?,,,
8,,2,,1
9,,,,
10,주변을 둘러보던 아기판다는 저멀리 구름 속에 있는 무언가를 발견한다.,,,
11,,3,,
12,아기판다 : 어엇!! 저건 뭐야?!?! 설마 저기가 황금 죽순이 있는 곳인가? ,,,
13,좋아 ! 느낌 왔어~!!,,,
14,,4,,1
15,,,,
16,점점 가까워질수록 또렷해지는 형체에 아기판다는 그만 입을 다물지 못하는데 ..,,,
17,,5,,
18,,,,
19,,,,
20,,6,,
21,,,,
22,아기판다 : 흙흑그그극… 정말 내 손으로 황금 죽순을 찾았어..! 찾아냈다구 !!,,,
23,,7,,
24,감격한 아기판다는 그동안 엄마에게 말썽 피웠던 ,,,
25,자신의 행동들에 대해서 회상하며 반성하게 된다.,,,
26,,8,,1
27,아기판다 : 그동안 내가 엄마에게 했던 행동들이 ,,,
28,얼마나 어리고 철없었는지 이젠 알았어..,,,
29,,9,,1
30,,,,
31,잠시 하늘을 바라보는 아기판다(닉네임)..  분명 무언가 깨달은 표정이다 !,,,
32,,10,,
33,,,,
34,아기판다 : 이제 집에 가자..!,,,
35,,11,,
36,그렇게 아기판다 (닉네임)은 한층 성장한 모습으로 ,,,
37,황금 죽순과 함께 집으로 돌아가게 된다.,,,
38,,,,1
